Ticker,EPS,BVPS,GrahamNumber,ClosingPrice,KGV,KBV
A,0.0741241986150382,10.73175965665236,4.230646451343751,13.06,176.19077499679582,1.2169486102779445
AABA,-9.14230134173999,3.61236746807252,,9.57,-1.0467823846833086,2.6492321405790817
AAMRQ,,,,4.18,,
AAPL,0.003668051422741,0.203658472053183,0.1296463240272495,14.5,3953.052541767444,71.19762735042762
ABI,,,,9.77,,
ABKFQ,,,,0.1531,,
ABT,0.3786195494917507,6.750916578550526,7.583577807117944,40.4,106.703417861629,5.984372570735305
ACV,,,,24.98,,
ADBE,0.1288823780511487,1.5968971891937311,2.1519219114656263,19.1,148.1971413688527,11.960694858285484
ADCT,,,,29.65,,
ADI,0.2592805271972474,8.110062591593278,6.878414013993128,19.7,75.97948142481692,2.429081129462627
ADM,0.1490686186711977,10.392166847203834,5.903878727628902,12.51,83.92108353531769,1.203791296265225
ADP,0.3816390357193814,7.89982937450091,8.236192898343496,34.77,91.10703241993917,4.401360884100953
ADSK,0.075875213576322,2.599476832409923,2.106610274001955,12.67,166.9847029459152,4.874057672694816
AEE,0.8749127581710977,28.9093387866394,23.85573012991283,41.65,47.60474642873471,1.440710917236501
AEP,0.5684209400928725,25.56342182890856,18.08155540957482,28.51,50.15649141170247,1.1152654050311561
AES,0.0792305067852933,4.452029520295203,2.8171923061998627,2.51,31.679716586968798,0.5637878159966846
AET,-0.3274718881115818,12.740905865931865,,35.81,-109.35289806555306,2.810632177712968
AFL,0.1650994326421276,5.903470900453398,4.682931044377414,30.69,185.887979800174,5.198636618610748
AGN,,,,24.51,,
AIG,11.848759253910854,450.44444444444446,346.5359649998633,54.7,4.616517124520483,0.12143561914158855
AL,,,,27.95,,
ALL,0.5532320072156276,25.185710235327477,17.706063173371753,35.55,64.25875498223665,1.4115146909827758
ALTR,,,,18.31,,
AM,,,,28.03,,
AMAT,0.1688251537176469,4.770079912286507,4.256696274675662,11.55,68.41397591331028,2.4213430827961924
AMCC,-0.2654456948688675,4.683859772993712,,11.44,-43.09732732961241,2.442430079986803
AMD,0.1617610664766685,9.455312445300192,5.866326112908505,5.34,33.01165179181241,0.5647618765527174
AMGN,0.105709505256836,14.2263026495933,5.816936206565855,41.7,394.4772979372482,2.9311902767084823
AON,0.3113535456947739,13.399494767232046,9.688630173645086,20.49,65.80943202132907,1.5291621330460543
APA,0.5357253488498588,15.77907717088778,13.79123495169344,59.45,110.97104164966689,3.7676474584765063
APC,,,,44.54,,
APD,0.4750192175292748,15.815356489945156,13.001286896227096,42.01,88.43852722108234,2.6562790428852154
APOL,,,,7.57,,
ARNC,,,,6.92,,
ASH,0.807742593733235,31.88641311279655,24.073020494591944,26.79,33.16650651809958,0.8401697583617119
ASO,,,,12.99,,
AT,,,,10.92,,
ATI,0.2285746471452343,10.7148000428592,7.423305320282629,6.92,30.27457369584429,0.6458356639713294
AVP,,,,46.1,,
AVY,0.6741389240660668,10.35736040609137,12.534023516307748,56.98,84.52263764318089,5.501401685943932
AXP,0.4268090211608139,10.565381708238853,10.072810187052337,31.18,73.05375110206947,2.951147517527543
AYE,,,,45.76,,
AZO,0.649402670749765,6.974404906485304,10.094896552027713,78.86,121.43467150966985,11.30705788628221
BA,0.5440136072145271,13.77529569374048,12.985139073878504,34.13,62.73740132117896,2.4776237664000735
